Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 293,BARBOUR 290 293-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 290,BARBOUR 290 293,BARBOUR 290 293-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 310,BARBOUR 310 311,BARBOUR 310 311-1,Single (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 310,BARBOUR 310 313,BARBOUR 310 313-1,Double (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 310,BARBOUR 310 313,BARBOUR 310 313-2,Double (Suite/Apartment),3,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 363,BARBOUR 360 363-1,Single (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 364,BARBOUR 360 364-1,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 364,BARBOUR 360 364-2,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 365,BARBOUR 360 365-1,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 365,BARBOUR 360 365-2,Double (Suite/Apartment),5,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 371,BARBOUR 370 371-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 371,BARBOUR 370 371-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
